iter	MultiClass
0	1.503108225
1	1.299014555
2	1.158449426
3	1.064140554
4	0.9919932336
5	0.9351549831
6	0.893296793
7	0.8556908966
8	0.8271724023
9	0.803595454
10	0.7850132512
11	0.7654164692
12	0.7465073528
13	0.7329465338
14	0.7237656789
15	0.712465994
16	0.7019836881
17	0.6956674807
18	0.6862270875
19	0.6764790388
20	0.6717588857
21	0.6676341221
22	0.6602138342
23	0.656171813
24	0.6519919795
25	0.6472035043
26	0.6443532109
27	0.6402404002
28	0.6374934418
29	0.6339292458
30	0.629469867
31	0.6264785041
32	0.6238390147
33	0.6205718
34	0.6179646403
35	0.6153299713
36	0.6116447439
37	0.6091291968
38	0.6056348707
39	0.6036006534
40	0.6018694096
41	0.5986556731
42	0.5958977449
43	0.5935439206
44	0.5915604289
45	0.5882195019
46	0.5864982836
47	0.5824932998
48	0.5808122048
49	0.5791397319
50	0.5765036785
51	0.5735016104
52	0.5714703054
53	0.5701846117
54	0.5673711811
55	0.5659070637
56	0.5641788072
57	0.5627418962
58	0.5605296022
59	0.5580777218
60	0.5563436625
61	0.5548983153
62	0.5536201142
63	0.5518188575
64	0.5505729194
65	0.5492526502
66	0.5483723499
67	0.5472459257
68	0.5459460942
69	0.5446584414
70	0.5431868841
71	0.5418782823
72	0.5407157022
73	0.5390282151
74	0.5378297535
75	0.536435209
76	0.5356691551
77	0.5342520915
78	0.5330861753
79	0.5317882665
80	0.5306402292
81	0.5286800073
82	0.5263088825
83	0.5253663662
84	0.5240263243
85	0.5223828775
86	0.5214574508
87	0.5200580007
88	0.5193433034
89	0.5179626569
90	0.5169949372
91	0.5161281647
92	0.5150435623
93	0.5142292737
94	0.5131035696
95	0.5113075656
96	0.5095299109
97	0.5084856178
98	0.5080659579
99	0.506774595
100	0.5059885531
101	0.5047896925
102	0.5033362809
103	0.5022659515
104	0.50088716
105	0.4996423442
106	0.4989821458
107	0.4979598613
108	0.4974029001
109	0.4962239332
110	0.494930777
111	0.4942080177
112	0.4931393087
113	0.4917785817
114	0.4905567239
115	0.4900447942
116	0.4893222441
117	0.487694664
118	0.4862391768
119	0.4855732134
120	0.4847415763
121	0.4837338281
122	0.4830851652
123	0.482265414
124	0.4814413418
125	0.4807396781
126	0.479858458
127	0.4791819328
128	0.4786701023
129	0.4778544332
130	0.4771123467
131	0.4765840826
132	0.4758429857
133	0.4747010755
134	0.4736180144
135	0.4728698045
136	0.4722949036
137	0.471439555
138	0.4706660991
139	0.469919419
140	0.4689067928
141	0.467782053
142	0.4666474237
143	0.4659636887
144	0.4654223105
145	0.4647866202
146	0.4642512683
147	0.4628871128
148	0.4624232869
149	0.4617029072
150	0.4609777176
151	0.4599042725
152	0.4587254649
153	0.4578132652
154	0.4570924371
155	0.4564013342
156	0.4559954664
157	0.4553660966
158	0.4548699797
159	0.45409833
160	0.4535780407
161	0.4528819726
162	0.4521653733
163	0.4515700313
164	0.4511868544
165	0.4506426649
166	0.449762879
167	0.4486418211
168	0.4482574871
169	0.4477712395
170	0.4470986989
171	0.4464295665
172	0.4454088096
173	0.4449239548
174	0.4443217996
175	0.4439825019
176	0.4432004847
177	0.4426669102
178	0.4421366203
179	0.4417578922
180	0.4411403063
181	0.4406227713
182	0.4403220124
183	0.4399467656
184	0.4396293152
185	0.4389224906
186	0.4385115833
187	0.4376937775
188	0.4369436951
189	0.4364695727
190	0.4357971893
191	0.4348972296
192	0.4344833446
193	0.4339886129
194	0.4336818575
195	0.4331019725
196	0.4327177167
197	0.4323447886
198	0.4319153145
199	0.4316487839
200	0.4311361078
201	0.4304755822
202	0.4298856556
203	0.429454904
204	0.4292257006
205	0.4286701007
206	0.4280479702
207	0.4275710454
208	0.4272652025
209	0.4267721555
210	0.4264846227
211	0.4259815477
212	0.4253455872
213	0.4249140884
214	0.42443504
215	0.4240678661
216	0.4237685023
217	0.4235684936
218	0.422966745
219	0.4225914521
220	0.4223792096
221	0.4217645109
222	0.4211732452
223	0.420811016
224	0.4203599478
225	0.4200254177
226	0.4195898735
227	0.4191643492
228	0.4188573277
229	0.4185465848
230	0.4180662479
231	0.4175073246
232	0.4172270616
233	0.4168520871
234	0.4164581143
235	0.4161895849
236	0.4156532196
237	0.4152037492
238	0.4145100348
239	0.4143125565
240	0.4135971363
241	0.413357825
242	0.4128659914
243	0.4123385516
244	0.4119401781
245	0.4111193184
246	0.4106659429
247	0.4102435276
248	0.4096411534
249	0.409005288
250	0.4086822245
251	0.4080022196
252	0.4076546167
253	0.4072068598
254	0.4064984442
255	0.4060796232
256	0.405728385
257	0.4052521361
258	0.4045192469
259	0.4041195585
260	0.4037364095
261	0.4033990834
262	0.4028394061
263	0.4025280482
264	0.4023096401
265	0.4019802983
266	0.401398928
267	0.4009968392
268	0.4004733445
269	0.4000067893
270	0.3994090596
271	0.3989607199
272	0.3988005732
273	0.3984998657
274	0.3982426288
275	0.3978254982
276	0.3974325473
277	0.3971392408
278	0.39661499
279	0.396180663
280	0.3958258689
281	0.3951595393
282	0.3947425586
283	0.3942999763
284	0.3939395771
285	0.3935092224
286	0.3932587934
287	0.3928830735
288	0.3927079327
289	0.3925104015
290	0.392113871
291	0.3919022611
292	0.3914372076
293	0.3911152122
294	0.3904335389
295	0.3902804409
296	0.3898865119
297	0.3895422157
298	0.3891222486
299	0.3888212533
