iter	Passed	Remaining
0	500	199556
1	994	197862
2	1472	194881
3	1970	195119
4	2453	193861
5	2935	192789
6	3441	193206
7	3912	191728
8	4365	189648
9	4834	188538
10	5324	188291
11	5790	187211
12	6289	187231
13	6746	186002
14	7255	186233
15	7784	186829
16	8326	187589
17	8774	186219
18	9258	185653
19	9772	185674
20	10305	185995
21	10778	185187
22	11243	184295
23	11692	183186
24	12209	183141
25	12715	182906
26	13212	182521
27	13718	182260
28	14200	181674
29	14685	181120
30	15140	180216
31	15622	179660
32	16136	179454
33	16650	179242
34	17116	178500
35	17633	178291
36	18133	177907
37	18705	178198
38	19295	178607
39	19853	178677
40	20392	178557
41	20924	178352
42	21444	178038
43	21941	177522
44	22467	177245
45	22987	176903
46	23515	176617
47	24024	176179
48	24486	175404
49	25008	175058
50	25517	174621
51	26066	174442
52	26596	174128
53	27129	173828
54	27634	173341
55	28155	172957
56	28687	172629
57	29199	172173
58	29726	171808
59	30261	171483
60	30768	170993
61	31313	170709
62	31842	170329
63	32382	170007
64	32901	169569
65	33440	169226
66	33921	168597
67	34454	168218
68	35017	167980
69	35599	167825
70	36159	167554
71	36657	166994
72	37182	166558
73	37687	166027
74	38206	165561
75	38763	165254
76	39273	164745
77	39812	164355
78	40288	163705
79	40833	163335
80	41316	162716
81	41838	162249
82	42354	161764
83	42855	161218
84	43382	160768
85	43884	160230
86	44365	159612
87	44866	159073
88	45346	158456
89	45845	157910
90	46353	157397
91	46908	157042
92	47445	156621
93	47942	156067
94	48486	155667
95	48990	155135
96	49509	154651
97	50022	154152
98	50590	153815
99	51163	153491
100	51681	152996
101	52159	152386
102	52606	151689
103	53130	151217
104	53675	150803
105	54224	150396
106	54649	149648
107	55215	149286
108	55713	148740
109	56224	148229
110	56723	147685
111	57204	147097
112	57665	146461
113	58102	145765
114	58586	145192
115	59094	144680
116	59610	144185
117	60108	143649
118	60561	143007
119	61083	142527
120	61549	141919
121	62061	141418
122	62520	140798
123	63046	140329
124	63513	139729
125	63982	139135
126	64419	138476
127	64916	137946
128	65378	137345
129	65907	136885
130	66403	136355
131	66894	135816
132	67443	135393
133	67937	134860
134	68449	134363
135	68947	133839
136	69409	133246
137	69864	132641
138	70361	132117
139	70846	131571
140	71281	130935
141	71794	130443
142	72300	129938
143	72774	129376
144	73228	128780
145	73695	128210
146	74186	127680
147	74682	127162
148	75195	126671
149	75697	126162
150	76121	125524
151	76662	125080
152	77135	124525
153	77588	123940
154	78039	123352
155	78510	122798
156	79021	122307
157	79552	121845
158	80029	121302
159	80528	120793
160	81052	120320
161	81500	119735
162	81949	119153
163	82427	118614
164	82903	118074
165	83413	117583
166	83902	117061
167	84375	116518
168	84817	115933
169	85269	115364
170	85707	114777
171	86183	114242
172	86661	113712
173	87101	113132
174	87558	112575
175	88043	112055
176	88470	111462
177	88938	110923
178	89397	110373
179	89851	109818
180	90344	109311
181	90811	108773
182	91340	108310
183	91788	107751
184	92276	107239
185	92650	106597
186	93096	106040
187	93557	105501
188	93958	104895
189	94440	104381
190	94889	103832
191	95354	103301
192	95809	102759
193	96277	102233
194	96748	101709
195	97215	101183
196	97669	100644
197	98150	100133
198	98645	99636
199	99090	99090
200	99581	98590
201	99991	98011
202	100454	97485
203	100927	96969
204	101357	96413
205	101734	95808
206	102253	95337
207	102719	94817
208	103177	94291
209	103608	93741
210	104091	93238
211	104570	92732
212	104932	92123
213	105388	91598
214	105858	91087
